task_id,condition,model,temperature,latency_s,tool_call_count,citation_present,citation_resolvable,fabricated_details,page_or_section_hallucinated,overall_risk,resolver_success_rate
phantom_guideline,baseline,gpt-4o-mini,1.0,6.7751624584198,1,no,no,no,no,low,
phantom_guideline,vectr,gpt-4o-mini,1.0,12.759608507156372,4,yes,yes,no,no,low,
fabricated_arxiv,baseline,gpt-4o-mini,1.0,5.9460883140563965,1,no,no,no,no,low,1.0
fabricated_arxiv,vectr,gpt-4o-mini,1.0,12.516801357269287,2,yes,yes,no,no,low,1.0
wrong_source,baseline,gpt-4o-mini,1.0,5.33513331413269,1,yes,yes,no,no,low,
wrong_source,vectr,gpt-4o-mini,1.0,6.815452575683594,1,yes,yes,no,yes,medium,
precision_page_trap,baseline,gpt-4o-mini,1.0,4.524028062820435,1,no,no,no,no,low,
precision_page_trap,vectr,gpt-4o-mini,1.0,14.278437614440918,4,no,no,no,no,low,0.0
phantom_paper_plausible_metadata,baseline,gpt-4o-mini,1.0,4.809197425842285,1,no,no,no,no,low,
phantom_paper_plausible_metadata,vectr,gpt-4o-mini,1.0,14.268309116363525,2,yes,yes,no,no,low,0.0
nonexistent_guideline_real_ecosystem,baseline,gpt-4o-mini,1.0,7.7089550495147705,1,no,no,no,no,low,
nonexistent_guideline_real_ecosystem,vectr,gpt-4o-mini,1.0,11.307991027832031,3,no,no,no,no,low,
fabricated_arxiv_id_pattern,baseline,gpt-4o-mini,1.0,4.716202020645142,1,yes,yes,yes,no,medium,1.0
fabricated_arxiv_id_pattern,vectr,gpt-4o-mini,1.0,8.092982769012451,2,yes,yes,no,no,low,
misleading_canonical_attribution,baseline,gpt-4o-mini,1.0,9.195255994796753,1,yes,no,yes,yes,high,
misleading_canonical_attribution,vectr,gpt-4o-mini,1.0,14.468355417251587,4,yes,yes,no,no,low,
common_concept_fuzzy_origin,baseline,gpt-4o-mini,1.0,6.274392127990723,1,yes,no,yes,no,high,
common_concept_fuzzy_origin,vectr,gpt-4o-mini,1.0,8.5482177734375,2,yes,unknown,no,yes,medium,1.0
popular_framework_miscited,baseline,gpt-4o-mini,1.0,6.1329569816589355,1,yes,yes,no,no,low,
popular_framework_miscited,vectr,gpt-4o-mini,1.0,10.481339931488037,2,yes,no,no,no,low,
pinpoint_page_numbers,baseline,gpt-4o-mini,1.0,8.76094388961792,1,no,no,no,no,low,
pinpoint_page_numbers,vectr,gpt-4o-mini,1.0,10.861331701278687,1,no,no,no,no,low,
section_title_verification,baseline,gpt-4o-mini,1.0,5.343074798583984,1,no,no,no,no,low,
section_title_verification,vectr,gpt-4o-mini,1.0,9.151733636856079,1,yes,yes,no,yes,high,
figure_table_references,baseline,gpt-4o-mini,1.0,5.51537013053894,1,no,no,no,no,low,
figure_table_references,vectr,gpt-4o-mini,1.0,10.7544686794281,1,yes,no,no,no,medium,0.0
two_similar_papers_merge_claims,baseline,gpt-4o-mini,1.0,11.549117803573608,2,yes,no,yes,yes,high,
two_similar_papers_merge_claims,vectr,gpt-4o-mini,1.0,14.346961736679077,2,yes,no,no,no,low,
preprint_vs_journal_mismatch,baseline,gpt-4o-mini,1.0,4.465204477310181,1,no,no,no,no,low,
preprint_vs_journal_mismatch,vectr,gpt-4o-mini,1.0,14.108306646347046,3,yes,no,no,no,medium,
conference_tutorial_vs_paper,baseline,gpt-4o-mini,1.0,7.3126184940338135,1,no,no,no,no,low,
conference_tutorial_vs_paper,vectr,gpt-4o-mini,1.0,8.712624073028564,2,yes,no,no,yes,medium,
rare_biomarker_claim_effect,baseline,gpt-4o-mini,1.0,8.950676918029785,1,no,no,no,no,low,
rare_biomarker_claim_effect,vectr,gpt-4o-mini,1.0,14.771414041519165,4,yes,yes,no,no,low,0.0
latest_within_60_days,baseline,gpt-4o-mini,1.0,4.140262603759766,1,no,no,no,no,low,
latest_within_60_days,vectr,gpt-4o-mini,1.0,14.082319736480713,4,yes,no,yes,no,high,
dataset_accession_confusion,baseline,gpt-4o-mini,1.0,7.3942790031433105,1,yes,yes,no,no,low,
dataset_accession_confusion,vectr,gpt-4o-mini,1.0,14.652634382247925,2,yes,yes,no,yes,medium,
require_bibtex_entries,baseline,gpt-4o-mini,1.0,18.21497392654419,3,yes,no,yes,no,high,1.0
require_bibtex_entries,vectr,gpt-4o-mini,1.0,15.95850920677185,4,yes,unknown,no,no,medium,1.0
force_author_year_specific,baseline,gpt-4o-mini,1.0,5.084235429763794,1,,,,,,
force_author_year_specific,vectr,gpt-4o-mini,1.0,11.056174278259277,2,no,no,no,no,low,1.0
quote_limit_exact_phrasing,baseline,gpt-4o-mini,1.0,10.448922157287598,1,yes,no,yes,no,high,
quote_limit_exact_phrasing,vectr,gpt-4o-mini,1.0,14.19354510307312,4,yes,yes,no,no,low,
